time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1582909200,67.5,68.08,66.755,68.08,1702620,2322154.8,40.00896615896883,31.678698038024432,NaN,NaN,50
1582911000,68.085,68.68,67.545,68.4925,1557048,2336031.2,42.82366199686954,32.084486445579486,NaN,NaN,50
1582912800,68.5175,68.7825,67.57,67.57,1379016,2237255.2,38.47594267848627,32.223181704487914,NaN,NaN,50
1582914600,67.5675,67.59,66.3125,66.72,1428284,2158555.6,34.95451914122056,32.215620644972496,NaN,NaN,50
1582916400,66.6925,66.8925,65.915,66.7,1207896,2063736,34.8736426948402,32.26848412390363,NaN,NaN,50
1582918200,66.735,68.1175,66.6125,67.23,2028316,2069344,38.90764509175134,32.57341513382293,NaN,NaN,50
1582920000,67.2825,67.8425,66.6275,66.69,1547580,2080346.2,36.43159127975997,32.94309415565128,NaN,NaN,50
1582921800,66.6675,68.6625,66.4175,68.66,3021512,2137992.8,49.146263094933104,34.26532464167779,NaN,NaN,50
1583159400,70.5675,71.0425,69.4325,70.3825,3129440,2232482.4,57.20605496586412,36.54829637877054,NaN,NaN,50
1583161200,70.39,70.595,69.96,70.32,2270064,2291198.8,56.85395409446701,39.40180311774935,NaN,NaN,50
1583163000,70.3375,71.595,69.9975,71.2725,1951636,2313250.2,60.812554835844814,42.49269631413819,NaN,NaN,50
1583164800,71.2525,72.535,71.2375,72.4025,2868496,2394283,64.9241220405298,44.75857647699022,NaN,NaN,50
1583166600,72.415,73.2225,72.2875,73.1825,2251332,2463695.6,67.46189920725416,47.0724920885584,NaN,NaN,50
1583168400,73.1875,73.385,72.27,72.495,2128624,2495717.6,63.1265902770421,49.00052911127374,NaN,NaN,50
1583170200,72.495,73.185,72.3625,73.0475,1535392,2399054.8,65.06932171876923,50.790554508402295,NaN,NaN,50
1583172000,73.015,73.0675,71.9525,72.0975,1089980,2194838.8,59.28539000025186,51.9663922229296,NaN,NaN,50
1583173800,72.1125,72.775,71.875,72.6625,890036,2015261.4,61.478496074134846,53.60943175119022,NaN,NaN,50
1583175600,72.6425,72.9825,72.52,72.5775,1103948,1922656.8,60.94661551909138,55.466010063895276,NaN,NaN,50
1583177400,72.6,72.6775,71.72,72.085,1334168,1877229,57.82500613012501,57.105393166415624,NaN,NaN,50
1583179200,72.0775,73.0675,72.02,72.9125,1420960,1792317.4,61.40216599877591,58.712144659774516,NaN,NaN,50
1583181000,72.935,74.7275,72.775,74.705,4036152,1908994,67.77768943004301,60.95115167050902,NaN,NaN,50
1583245800,75.935,75.965,73.0725,73.585,3264456,1994364.4,60.997968392823125,61.797702048929736,NaN,NaN,50
1583247600,73.5625,76,73.5175,74.94,2144524,2032639.8,65.49488194216092,62.38976111866523,NaN,NaN,50
1583249400,74.8725,75.2325,74.27,74.845,1551476,2038799.4,64.92963365549416,62.96659537302431,NaN,NaN,50
1583251200,74.815,74.9825,72.78,72.9975,1903372,2073573.2,54.99017914091664,62.55071139481515,NaN,NaN,50
1583253000,73.0025,74.14,72.905,73.975,1046760,2024495.4,58.60115683728762,62.09907102315499,NaN,NaN,50
1583254800,73.9625,74.3525,73.395,73.445,782040,1986218.4,55.978839771069815,61.27885249199897,NaN,NaN,50
1583256600,73.46875,73.8925,73.2,73.4225,510120,1860648.8,55.864550187564156,60.76013534275054,NaN,NaN,50
1583258400,73.395,73.4,72.4,72.845,957292,1752041.4,52.880328675092024,59.88949298248788,NaN,NaN,50
1583260200,72.7825,73.0325,72.0025,72.0375,970264,1687051.4,48.94334491651441,59.15077547650664,NaN,NaN,50
1583262000,72.0675,72.315,71.455,71.9875,2292820,1704110.6,48.70156260238629,58.23813737138175,NaN,NaN,50
1583263800,72.025,72.6725,71.7375,72.585,1868660,1654118.8,51.767898030122076,57.58251469359823,NaN,NaN,50
1583265600,72.5775,73.3575,72.415,73.2475,1938424,1638473.4,54.98113477417861,57.379381025316334,NaN,NaN,50
1583267400,73.23,73.23,71.96,72.3325,3003816,1682233,50.024268766104164,56.566674080125495,NaN,NaN,50
1583332200,74.2425,74.6125,73.2825,73.7175,2068668,1708896.8,56.42775885234003,55.75596475314671,NaN,NaN,50
1583334000,73.73,74.545,73.6,74.29,2086104,1758703,58.77894537679155,55.59746310914446,NaN,NaN,50
1583335800,74.2725,74.305,73.635,73.7975,1381020,1783252.2,55.98042297216839,54.917858897002134,NaN,NaN,50
1583337600,73.8125,74.305,73.5875,74.28,920144,1774062,58.08586492970311,54.429018273731344,NaN,NaN,50
1583339400,74.2975,74.355,73.6375,73.8475,1033860,1759046.6,55.52233378404115,54.46702931966881,NaN,NaN,50
1583341200,73.8725,74.21,73.835,74.1725,686412,1722319.2,57.05607403649313,54.356666262469204,NaN,NaN,50
1583343000,74.2,74.7475,73.9225,74.73,899176,1565470.4,59.62787651955746,54.617311744504036,NaN,NaN,50
1583344800,74.73,75.1825,74.6725,74.9625,1319996,1468247.4,60.68531102762641,54.961651804508485,NaN,NaN,50
1583346600,74.9675,75.04,74.6375,74.725,864856,1404264,58.98572121197301,55.397751271428554,NaN,NaN,50
1583348400,74.74,74.995,74.47,74.9425,828140,1368097.2,60.08813068747947,56.19380739792606,NaN,NaN,50
1583350200,74.9625,75.045,74.5475,74.765,955880,1320722.6,58.70143752387065,56.908084178032084,NaN,NaN,50
1583352000,74.7425,75.12,74.6025,75.12,1121108,1324440,60.65700916929182,57.543020687972785,NaN,NaN,50
1583353800,75.12,75.7575,74.705,75.6925,3318660,1451271,63.6466248083352,58.161984261841106,NaN,NaN,50
1583418600,73.875,74.3575,73.6125,73.85,1262296,1488879.8,50.378491337150926,58.18728587405873,NaN,NaN,50
1583420400,73.855,74.6775,73.5775,74.43375,1222316,1502131,53.67358120069837,57.99055889894147,NaN,NaN,50
