time,open,high,low,close,Volume,Volume MA,OnBalanceVolume,Smoothing Line,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1672340400,1.06749,1.06794,1.06743,1.06759,1755,2907.3,-663127,-662907.6,37.71831666490947,64.00500814691426,62.16715055456381,NaN,NaN,50
1672342200,1.06759,1.0679,1.06735,1.0678,1917,2874.05,-661210,-662541.2,38.5513729055783,64.94078693837966,62.36782525346158,NaN,NaN,50
1672344000,1.0678,1.0678,1.06657,1.06696,2220,2863.85,-663430,-663135.8,38.014001044829044,58.40056018085273,62.42316795085325,NaN,NaN,50
1672345800,1.06696,1.06724,1.06667,1.0668,1736,2843.7,-665166,-663563,37.51501288841902,57.21850661426906,62.09638051495998,NaN,NaN,50
1672347600,1.0668,1.06715,1.06636,1.06641,1211,2832,-666377,-663862,36.550063802849984,54.331794328491846,61.474422903625175,NaN,NaN,50
1672349400,1.06641,1.06641,1.06602,1.0661,507,2771.9,-666884,-664613.4,35.126710293204376,52.08252836648929,61.327123014450486,NaN,NaN,50
1672351200,1.0661,1.0664,1.0661,1.06618,45,2684.8,-666839,-665739.2,33.805024891390595,52.62756469572631,60.943816270662424,NaN,NaN,50
1672353000,1.06618,1.0663,1.06598,1.0661,435,2599.35,-667274,-666508,32.37957460641291,51.990707634416374,60.0930936049855,NaN,NaN,50
1672354800,1.0661,1.0662,1.06544,1.06554,775,2489.35,-668049,-667084.6,30.215333059166618,47.64437416021281,59.10402148311759,NaN,NaN,50
1672356600,1.06554,1.06608,1.06554,1.06604,672,2271.95,-667377,-667284.6,28.20568019386649,51.53975216503705,58.30551569827151,NaN,NaN,50
1672358400,1.06604,1.06668,1.06602,1.06609,1098,2114.65,-666279,-667163.6,27.161731113462366,51.92495602106098,57.44614852118963,NaN,NaN,50
1672360200,1.06609,1.06684,1.06592,1.06683,1107,1895.65,-665172,-666830.2,26.39389908535928,57.33082637187956,56.632262075339135,NaN,NaN,50
1672362000,1.06683,1.06698,1.06572,1.06615,1538,1736.7,-666710,-666717.4,25.330782671796232,51.590012754660236,55.65732061762344,NaN,NaN,50
1672363800,1.06615,1.06636,1.06588,1.06606,1615,1583.05,-668325,-666772.6,24.34360314491626,50.864049797144375,54.7493877268239,NaN,NaN,50
1672365600,1.06606,1.06606,1.0655,1.06572,1308,1461,-669633,-667223.8,22.75064567648422,48.10979914615201,53.614015655340886,NaN,NaN,50
1672367400,1.06572,1.06596,1.06552,1.06588,842,1377.9,-668791,-667726.2,21.271470884368753,49.49574493635972,52.510798369482316,NaN,NaN,50
1672369200,1.06588,1.06614,1.06573,1.06614,773,1328.2,-668018,-668295.4,20.20978043475674,51.75095828135825,52.03582680523271,NaN,NaN,50
1672371000,1.06614,1.06633,1.06574,1.06592,811,1239.5,-668829,-668719.2,19.546269613698566,49.72751768127157,51.50075616716146,NaN,NaN,50
1672372800,1.06592,1.06592,1.06551,1.06585,738,1147.75,-669567,-668967.6,18.461580423480157,49.07008854430864,51.124920039719804,NaN,NaN,50
1672374600,1.06585,1.06596,1.06516,1.06553,628,1086.55,-670195,-669080,17.49006649770994,46.07147235889126,50.69555889631994,NaN,NaN,50
1672376400,1.06553,1.06569,1.06545,1.06564,877,1042.65,-669318,-669185.4,16.58794642378045,47.26445699756086,50.3124797750224,NaN,NaN,50
1672378200,1.06564,1.0658,1.06423,1.06434,1390,1016.3,-670708,-669723.4,17.5387867645499,36.880769439353514,49.233198475375055,NaN,NaN,50
1672380000,1.06434,1.06505,1.0641,1.0643,1765,993.55,-672473,-670452.2,18.568500797690703,36.61422592568617,48.44533074433745,NaN,NaN,50
1672381800,1.0643,1.06478,1.06406,1.06446,1360,974.75,-671113,-670761.4,19.571424382921677,38.5279978472285,47.51591972163682,NaN,NaN,50
1672383600,1.06446,1.06494,1.0642,1.06423,1449,986.65,-672562,-671234.8,20.125776416692904,36.807601789968224,46.4361087051302,NaN,NaN,50
1672385400,1.06423,1.06514,1.06386,1.06512,2072,1064.9,-670490,-671469.2,21.07376757136425,46.72162289444456,45.67830845674199,NaN,NaN,50
1672387200,1.06512,1.06641,1.06499,1.06593,3132,1219.25,-667358,-670799.2,19.57800115796619,53.822260760729236,45.83775474288977,NaN,NaN,50
1672389000,1.06593,1.06747,1.06593,1.06712,2705,1332.75,-664653,-669235.2,19.50371850620761,61.86366594660277,46.62344161070822,NaN,NaN,50
1672390800,1.06712,1.06714,1.06569,1.06574,2718,1429.9,-667371,-668486.8,19.070622374952013,50.812948319844004,46.81652369454337,NaN,NaN,50
1672392600,1.06574,1.0666,1.06515,1.06548,2374,1515,-669745,-667923.4,17.90379553194933,49.03570773368295,46.78366389435217,NaN,NaN,50
1672394400,1.06548,1.06684,1.06534,1.06684,2043,1562.25,-667702,-667365.8,17.12055896604501,57.42421581648464,47.18889657543263,NaN,NaN,50
1672396200,1.06684,1.06762,1.06644,1.06698,2136,1613.7,-665566,-667007.4,17.26661302897761,58.187176287631935,47.793157904458376,NaN,NaN,50
1672398000,1.06698,1.06894,1.06696,1.06884,2209,1647.25,-663357,-666748.2,18.517684102317208,66.7199924678,49.05386532756489,NaN,NaN,50
1672399800,1.06884,1.0699,1.06755,1.06762,3058,1719.4,-666415,-666557,20.2916202095864,58.314028787964794,49.92833364392728,NaN,NaN,50
1672401600,1.06762,1.06812,1.0672,1.06784,2549,1781.45,-663866,-665381.2,21.436412017189927,59.30959705346551,50.788700790777625,NaN,NaN,50
1672403400,1.06784,1.0688,1.06716,1.06723,2984,1888.55,-666850,-665210.8,22.922946027411697,55.36155951356624,52.108757224649956,NaN,NaN,50
1672405200,1.06723,1.06804,1.06474,1.0649,3988,2049.3,-670838,-666265.2,21.631135147035444,43.46101282707113,52.59781343189174,NaN,NaN,50
1672407000,1.0649,1.06698,1.06454,1.06688,3710,2194.25,-667128,-667019.4,20.26032490839547,52.755113269281026,53.61403596203835,NaN,NaN,50
1672408800,1.06688,1.06793,1.06616,1.06762,4195,2367.1,-662933,-666323,19.717336206273835,55.68696526944117,54.96256192485784,NaN,NaN,50
1672410600,1.06762,1.07012,1.06728,1.06884,6954,2683.4,-655979,-664745.6,20.500607028347293,60.08479480615788,55.91707420426593,NaN,NaN,50
1672412400,1.06884,1.06896,1.06704,1.06744,5252,2902.15,-661231,-663621.8,21.00598841544121,53.52060943467653,55.89552768097645,NaN,NaN,50
